-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2700,2696,2693,2690,2686,2682,2678,2673,2669,2664,2659,2653,2648,2642,2636,2629,2623,2616,2609,2602,2595,2587,2579,2571,2563,2554,2545,2536,2527,2517,2507,2497,2487,2476,2463,2448,2431,2413,2393,2372,2349,2325,2300,2274,2246,2218,2190,2161,2131,2101,2072,2042,2013,1984,1955,1927,1900,1874,1849,1825,1802,1780,1760,1740,1721,1702,1682,1662,1642,1621,1600,1578,1557,1534,1512,1488,1465,1441,1416,1391,1365,1338,1311,1283,1255,1225,1195,1163,1130,1096
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2733,2731,2728,2725,2721,2717,2713,2709,2704,2699,2694,2689,2683,2677,2671,2664,2657,2650,2643,2635,2627,2619,2610,2601,2592,2583,2573,2563,2553,2542,2532,2520,2509,2496,2482,2466,2448,2429,2407,2384,2360,2335,2308,2280,2251,2221,2190,2159,2127,2096,2064,2032,2000,1969,1938,1908,1878,1850,1822,1795,1769,1745,1721,1699,1677,1654,1631,1608,1584,1560,1535,1510,1484,1458,1432,1404,1376,1348,1319,1289,1258,1227,1195,1162,1127,1092,1056,1018,978,937
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2522,2518,2514,2510,2505,2500,2495,2490,2484,2478,2472,2466,2459,2452,2445,2437,2430,2422,2413,2405,2396,2387,2377,2368,2358,2348,2337,2326,2315,2304,2292,2280,2268,2255,2240,2224,2205,2186,2164,2141,2117,2091,2064,2036,2007,1978,1947,1916,1885,1853,1821,1789,1757,1725,1694,1663,1633,1603,1575,1547,1520,1494,1469,1445,1422,1400,1377,1354,1330,1306,1282,1257,1232,1206,1180,1153,1126,1099,1071,1042,1012,982,952,920,888,855,821,786,749,711
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2592,2589,2586,2583,2579,2576,2572,2567,2563,2558,2553,2548,2542,2537,2531,2524,2518,2511,2504,2497,2489,2481,2473,2465,2456,2447,2438,2429,2419,2409,2399,2389,2378,2367,2355,2341,2325,2308,2289,2268,2246,2222,2197,2171,2143,2115,2086,2056,2026,1995,1964,1933,1902,1871,1840,1810,1781,1752,1725,1698,1672,1647,1623,1601,1579,1558,1537,1515,1493,1470,1447,1424,1400,1375,1350,1324,1298,1272,1244,1216,1188,1158,1128,1097,1064,1031,997,961,924,884
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2803,2799,2794,2790,2785,2780,2775,2770,2764,2758,2752,2746,2739,2732,2725,2718,2711,2703,2695,2687,2678,2670,2661,2652,2642,2633,2623,2613,2602,2592,2581,2570,2558,2546,2532,2516,2498,2479,2458,2436,2412,2387,2360,2333,2304,2275,2245,2215,2184,2153,2122,2091,2060,2030,2000,1971,1942,1915,1888,1863,1838,1815,1792,1771,1750,1729,1708,1686,1663,1641,1618,1594,1570,1545,1520,1494,1468,1441,1413,1385,1356,1326,1296,1264,1231,1197,1162,1125,1087,1046
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2621,2617,2614,2610,2606,2602,2598,2593,2588,2583,2577,2572,2566,2560,2554,2547,2540,2533,2526,2518,2511,2503,2494,2486,2477,2468,2459,2450,2440,2430,2420,2409,2399,2388,2375,2361,2345,2327,2308,2286,2263,2238,2212,2184,2156,2126,2096,2065,2034,2003,1972,1941,1910,1880,1850,1822,1794,1767,1742,1718,1695,1674,1654,1635,1615,1595,1574,1554,1532,1511,1489,1467,1444,1421,1397,1373,1348,1323,1298,1271,1245,1217,1189,1160,1130,1099,1067,1034,1000,964
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2681,2678,2675,2671,2668,2664,2660,2655,2651,2646,2641,2636,2631,2625,2619,2613,2607,2600,2593,2586,2579,2572,2564,2556,2548,2540,2531,2522,2513,2504,2494,2485,2474,2463,2451,2436,2420,2402,2382,2361,2339,2315,2290,2264,2238,2210,2182,2153,2124,2094,2065,2036,2007,1978,1950,1923,1896,1870,1846,1822,1800,1778,1758,1739,1721,1702,1683,1664,1644,1624,1603,1582,1561,1540,1518,1495,1472,1449,1425,1401,1376,1351,1325,1298,1271,1242,1213,1183,1152,1119
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2539,2536,2533,2530,2526,2522,2518,2513,2509,2504,2498,2493,2487,2481,2475,2469,2462,2455,2448,2441,2433,2425,2417,2408,2400,2391,2381,2372,2362,2352,2342,2331,2320,2309,2297,2283,2268,2250,2231,2210,2188,2164,2139,2113,2086,2057,2028,1998,1968,1937,1906,1875,1844,1813,1783,1753,1724,1695,1668,1641,1615,1590,1567,1544,1523,1502,1481,1460,1437,1415,1392,1369,1345,1321,1296,1271,1245,1219,1192,1164,1136,1107,1077,1046,1015,982,948,913,876,838
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2659,2656,2653,2650,2646,2642,2638,2634,2629,2624,2619,2614,2608,2602,2596,2590,2583,2576,2569,2562,2554,2546,2538,2530,2521,2512,2503,2494,2484,2474,2464,2454,2443,2432,2418,2403,2386,2367,2347,2325,2302,2277,2251,2225,2197,2168,2139,2109,2079,2048,2018,1988,1958,1928,1899,1870,1842,1815,1789,1764,1740,1718,1696,1676,1656,1635,1615,1594,1572,1551,1528,1506,1483,1459,1435,1411,1386,1361,1335,1308,1281,1254,1225,1196,1166,1135,1103,1070,1035,1000
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2656,2653,2650,2646,2642,2638,2633,2628,2624,2618,2613,2607,2602,2595,2589,2583,2576,2569,2561,2554,2546,2538,2530,2522,2513,2504,2495,2485,2475,2466,2455,2445,2434,2423,2409,2394,2377,2359,2339,2318,2295,2272,2246,2220,2193,2165,2137,2107,2078,2048,2018,1988,1958,1928,1899,1870,1842,1814,1788,1762,1737,1713,1690,1669,1648,1628,1607,1586,1564,1543,1520,1498,1474,1451,1427,1402,1377,1351,1325,1298,1270,1242,1212,1182,1151,1119,1086,1051,1015,977
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2819,2815,2811,2807,2802,2798,2793,2787,2782,2776,2770,2764,2757,2751,2744,2736,2729,2721,2713,2705,2697,2688,2679,2670,2660,2651,2641,2630,2620,2609,2598,2587,2575,2563,2549,2532,2515,2495,2474,2451,2427,2401,2375,2347,2318,2289,2258,2228,2196,2165,2134,2102,2071,2040,2010,1980,1951,1923,1896,1870,1845,1821,1798,1776,1755,1733,1711,1689,1666,1642,1618,1594,1569,1544,1518,1492,1464,1437,1408,1379,1350,1319,1287,1255,1221,1187,1151,1113,1074,1032
-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
2788,2784,2781,2777,2772,2768,2763,2758,2753,2748,2742,2736,2730,2723,2716,2709,2702,2694,2687,2678,2670,2661,2652,2643,2634,2624,2614,2604,2593,2582,2571,2560,2548,2536,2523,2508,2490,2471,2450,2427,2403,2377,2349,2321,2291,2260,2228,2196,2163,2131,2098,2065,2033,2001,1970,1939,1910,1882,1854,1828,1804,1780,1759,1737,1715,1693,1671,1648,1624,1601,1577,1552,1527,1501,1475,1449,1421,1394,1365,1336,1307,1276,1245,1213,1180,1146,1111,1075,1037,998
